iata,name,latitude,longitude
ABE,Lehigh Valley International Airport,40.651773,-75.442797
ABI,Abilene Regional Airport,32.4113006592,-99.68190002440001
ABQ,Albuquerque International Sunport,35.039976,-106.608925
ABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469
ABY,Southwest Georgia Regional Airport,31.532946,-84.196215
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355
ACT,Waco Regional Airport,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109
ACY,Atlantic City International Airport,39.456201,-74.577511
ADK,Adak Airport,51.883564,-176.642783
ADQ,Kodiak Airport,57.75,-152.4940033
AEX,Alexandria International Airport,31.325828,-92.546702
AGS,Augusta Regional At Bush Field,33.3699,-81.9645
AKN,King Salmon Airport,58.677845,-156.651965
ALB,Albany International Airport,42.748299,-73.801697
ALO,Waterloo Regional Airport,42.557098388671875,-92.40029907226562
AMA,Rick Husband Amarillo International Airport,35.217857,-101.706444
ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561
APN,Alpena County Regional Airport,45.0780983,-83.56030273
ASE,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
ATW,Appleton International Airport,44.258515,-88.519
ATY,Watertown Regional Airport,44.91400146,-97.15470123
AUS,Austin Bergstrom International Airport,30.197535,-97.662015
AVL,Asheville Regional Airport,35.435488,-82.541853
AVP,Wilkes-Barre/Scranton International Airport,41.337064,-75.724232
AZA,Mesa Gateway Airport,33.3078,-111.654999
AZO,Kalamazoo/Battle Creek International Airport,42.232105,-85.549637
BDL,Bradley International Airport,41.938555,-72.688016
BET,Bethel Airport,60.77980042,-161.8379974
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007
BFL,Meadows Field,35.433601,-119.056999
BGM,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736
BGR,Bangor International Airport,44.806364,-68.826668
BHM,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712
BIH,Eastern Sierra Regional Airport,37.3731,-118.363998
BIL,Billings Logan International Airport,45.808932,-108.541242
BIS,Bismarck Municipal Airport,46.772734,-100.746874
BJI,Bemidji Regional Airport,47.50939941,-94.93370056
BLI,Bellingham International Airport,48.79280090332031,-122.53800201416016
BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901
BNA,Nashville International Airport,36.1245,-86.6782
BOI,Boise Air Terminal/Gowen Field,43.5644,-116.223
BOS,Boston Logan International Airport,42.36197,-71.0079
BPT,Jack Brooks Regional Airport,29.9508,-94.020699
BQN,Rafael Hernández International Airport,18.4949,-67.129402
BRD,Brainerd Lakes Regional Airport,46.402861,-94.129727
BRO,Brownsville South Padre Island International Airport,25.907238,-97.425235
BRW,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008
